tipo,precio,m2,precio_m2,zona,features
Departamento,500000,44,11364,General San Martín,44 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,800000,64,12500,San Martín Centro,64 m² tot. 3 amb. 2 dorm. 1 baño
Departamento,550000,40,13750,Villa Ballester,40 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,700000,50,14000,Villa Ballester,50 m² tot. 3 amb. 2 dorm. 1 baño
Departamento,600000,42,14286,General San Martín,42 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,2600000,226,11504,Villa Ballester,226 m² tot. 7 amb. 4 dorm. 3 baños 1 coch.
Departamento,650000,45,14444,Villa Granaderos De San Martin,45 m² tot. 2 amb. 1 dorm. 1 baño 1 coch.
Departamento,550000,44,12500,Villa Maipu,44 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,550000,45,12222,Villa Ballester,45 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,450000,45,10000,Villa Ballester,45 m² tot. 2 amb. 1 baño
Departamento,650000,50,13000,Villa Ballester,50 m² tot. 3 amb. 2 dorm. 1 baño
Departamento,800000,72,11111,San Martín Centro,72 m² tot. 3 amb. 2 dorm. 1 baño 1 coch.
Departamento,550000,38,14474,Villa Ballester,38 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,750000,60,12500,San Andrés,60 m² tot. 1 dorm. 1 baño
Departamento,520000,35,14857,Villa Ballester,35 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,1300000,95,13684,Billinghurst,95 m² tot. 4 amb. 3 dorm. 1 baño
Departamento,400000,30,13333,San Martín Centro,30 m² tot. 1 amb. 1 baño
Departamento,760000,70,10857,Villa Lynch,70 m² tot. 3 amb. 2 dorm. 1 baño
Departamento,750000,60,12500,Villa Ballester,60 m² tot. 3 amb. 2 dorm. 1 baño
Departamento,500000,38,13158,General San Martín,38 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,380000,32,11875,General San Martín,32 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,890000,64,13906,Villa Ballester,64 m² tot. 3 amb. 1 baño
Departamento,1500000,220,6818,General San Martín,220 m² tot. 5 amb. 5 dorm. 1 baño
Departamento,350000,35,10000,General San Martín,35 m² tot. 1 amb. 1 baño
Departamento,700000,50,14000,San Martín Centro,50 m² tot. 2 amb. 1 dorm. 1 baño 2 coch.
Departamento,890000,64,13906,Villa Ballester,64 m² tot. 3 amb. 2 dorm. 1 baño
Departamento,650000,60,10833,General San Martín,60 m² tot. 3 amb. 2 dorm. 1 baño
Departamento,300000,26,11538,General San Martín,26 m² tot. 1 amb. 1 baño
Departamento,900000,65,13846,Villa Maipu,65 m² tot. 3 amb. 2 dorm. 1 baño
Departamento,450000,42,10714,Villa Libertad,42 m² tot. 1 amb. 1 baño
Departamento,700000,60,11667,Villa Libertad,60 m² tot. 3 amb. 2 dorm. 1 baño
Departamento,730000,54,13519,San Martín Centro,54 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,600000,46,13043,San Martín Centro,46 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,600000,60,10000,San Martín Centro,60 m² tot. 2 amb. 1 dorm. 1 baño 1 coch.
Departamento,700000,121,5785,Villa Ballester,121 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,700000,48,14583,San Martín Centro,48 m² tot. 2 amb. 1 dorm. 1 baño 1 coch.
Departamento,400000,27,14815,Villa Ballester,27 m² tot. 1 amb. 1 baño
Departamento,850000,59,14407,Villa Ballester,59 m² tot. 3 amb. 2 dorm. 1 baño
Departamento,550000,46,11957,Villa Ballester,46 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,580000,50,11600,General San Martín,50 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,650000,47,13830,San Andrés,47 m² tot. 2 amb. 1 dorm. 1 baño 1 coch.
Departamento,600000,41,14634,San Martín Centro,41 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,700000,70,10000,Villa Ballester,70 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,650000,45,14444,San Andrés,45 m² tot. 2 amb. 1 dorm. 1 baño 1 coch.
Departamento,560000,60,9333,General San Martín,60 m² tot. 3 amb. 2 dorm. 1 baño
Departamento,450000,86,5233,Villa Libertad,86 m² tot. 1 amb. 1 baño 1 coch.
Departamento,700000,49,14286,General San Martín,49 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,550000,45,12222,Villa Ballester,45 m² tot. 2 amb. 1 dorm. 1 baño 1 coch.
Departamento,580000,48,12083,San Martín Centro,48 m² tot. 2 amb. 1 dorm. 1 baño 1 coch.
Departamento,500000,40,12500,José León Suárez,40 m² tot. 3 amb. 2 dorm. 1 baño
Departamento,550000,55,10000,San Martín Centro,55 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,650000,45,14444,General San Martín,45 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,500000,34,14706,Villa Ballester,34 m² tot. 1 amb. 1 baño
Departamento,650000,55,11818,Villa Ballester,55 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,550000,49,11224,Villa Ballester,49 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,800000,61,13115,Villa Ballester,61 m² tot. 3 amb. 2 dorm. 1 baño
Departamento,550000,38,14474,San Andrés,38 m² tot. 1 amb. 1 baño 1 coch.
Departamento,750000,60,12500,José León Suárez,60 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,530000,45,11778,General San Martín,45 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,900000,62,14516,Villa Ballester,62 m² tot. 2 amb. 1 baño 1 coch.
Departamento,570000,40,14250,Billinghurst,40 m² tot. 2 amb. 1 dorm. 1 baño
Departamento,700000,61,11475,General San Martín,61 m² tot. 3 amb. 2 dorm. 1 baño 1 coch.
Departamento,500000,35,14286,Villa Ballester,35 m² tot. 1 dorm. 1 baño
Departamento,400000,30,13333,San Martín Centro,30 m² tot. 1 amb.
