posting_id,tipo,precio,m2,precio_m2,ambientes,dormitorios,zona,direccion,visibilidad,lat,lon,url,fuente
AP20020584,Departamento,580000,51,11373,2,1,Centro,"Guemes 2100, Piso 7°",APPROX,-34.591274,-58.556769,https://www.argenprop.com/departamento-en-alquiler-en-centro-2-ambientes--20020584,Argenprop
AP20288106,Departamento,350000,25,14000,1,,General San Martin,INTENDENTE CAMPOS 1900,APPROX,-34.5782453,-58.535785,https://www.argenprop.com/departamento-en-alquiler-en-general-san-martin-1-ambiente--20288106,Argenprop
AP20220141,Departamento,560000,45,12444,2,1,San Andres,"Congreso 3200, Piso 1",APPROX,-34.563318,-58.544946,https://www.argenprop.com/departamento-en-alquiler-en-san-andres-2-ambientes--20220141,Argenprop
AP20262763,Departamento,900000,77,11688,3,2,Centro,"Juarez 4000, Piso 7",APPROX,-34.5817381,-58.5358473,https://www.argenprop.com/departamento-en-alquiler-en-centro-3-ambientes--20262763,Argenprop
AP7802600,Departamento,490000,40,12250,1,1,Villa Ballester,REPUBLICA 4600,APPROX,-34.5424932,-58.5557122,https://www.argenprop.com/departamento-en-alquiler-en-villa-ballester-1-ambiente--7802600,Argenprop
AP15961813,Departamento,1100000,90,12222,3,2,Villa Ballester,"Pacifico Rodriguez 4900, Piso 3°",APPROX,-34.5491738,-58.5547677,https://www.argenprop.com/departamento-en-alquiler-en-villa-ballester-3-ambientes--15961813,Argenprop
AP19813486,Departamento,550000,40,13750,2,,Villa Ballester,Alvear 2475,APPROX,-34.547755,-58.5521876,https://www.argenprop.com/departamento-en-alquiler-en-villa-ballester-1-ambiente--19813486,Argenprop
AP20262296,Departamento,850000,65,13077,2,1,Centro,"Ayacucho 2200, Piso 5",APPROX,-34.5730379,-58.5358086,https://www.argenprop.com/departamento-en-alquiler-en-centro-2-ambientes--20262296,Argenprop
AP19648774,Departamento,500000,40,12500,2,1,Jose Leon Suarez,Sarmiento al 7536,APPROX,-34.5244394,-58.5730599,https://www.argenprop.com/departamento-en-alquiler-en-jose-leon-suarez-2-ambientes--19648774,Argenprop
AP20256465,Departamento,700000,50,14000,2,1,San Andres,Congreso al 2900,APPROX,-34.561482,-58.5471084,https://www.argenprop.com/departamento-en-alquiler-en-san-andres-2-ambientes--20256465,Argenprop
AP20262030,Departamento,650000,54,12037,3,2,Centro,Félix Ballester 2500,APPROX,-34.575781,-58.54518,https://www.argenprop.com/departamento-en-alquiler-en-centro-3-ambientes--20262030,Argenprop
