zona,tipo,mediana_$/m2,promedio_$/m2,min_$/m2,max_$/m2,cantidad_avisos
Villa Granaderos De San Martin,Departamento,14444,14444,14444,14444,1
San Andrés,Departamento,13830,12886,7692,15000,9
Billinghurst,Departamento,13684,13200,11667,14250,3
San Andrés,PH,13333,12399,9412,15000,15
Villa Lynch,Departamento,13077,12368,10857,13462,5
General San Martín,Departamento,13043,12251,5909,14904,43
Villa Ballester,Departamento,13014,12439,5785,14857,63
José León Suárez,Departamento,12500,11993,5294,14286,22
San Martín Centro,PH,12250,11952,5952,14286,7
San Andrés,Casa,12000,9392,6208,14000,17
San Martín Centro,Departamento,11900,11654,7778,14634,36
Barrio Parque General San Martin,PH,11667,11667,11667,11667,7
Villa Lynch,PH,11250,11361,7059,15000,51
Villa Maipu,Casa,11111,10627,6757,11111,9
Villa Maipu,Departamento,11000,10547,5388,13846,5
José León Suárez,PH,10909,11184,6786,13333,20
General San Martín,Casa,10833,10329,4630,12000,10
Villa Ballester,PH,10750,11125,6923,14857,81
General San Martín,PH,10625,10228,7417,15000,18
Villa Monteagudo,Departamento,10227,10227,10227,10227,1
Villa Maipu,PH,10000,9200,6667,11600,13
Barrio Parque General San Martin,Departamento,9857,7922,3000,10909,3
Villa Ballester,Casa,9375,7588,1786,14286,59
Villa Bonich,Departamento,8889,8889,8889,8889,1
San Martín Centro,Casa,8563,8563,7059,10067,2
Billinghurst,PH,8428,8431,4500,12857,16
Villa Libertad,Departamento,7974,8212,5233,11667,4
Loma Hermosa,Casa,7966,7966,5933,10000,16
José León Suárez,Casa,6787,6868,4016,11429,36
Villa Libertad,PH,6571,6571,6571,6571,1
Villa Lynch,Casa,6333,6333,6333,6333,1
Villa Libertad,Casa,6266,6266,2931,9600,2
